Path,Category,Description,Status,Complete,Audited,LastUpdated,Priority,Notes
app/api/webhooks/stripe/route.ts,API-Billing,Stripe webhooks,Complete,Yes,Yes,2025-12-18,Critical,Email notifications
app/api/admin/contacts/route.ts,API-Admin,List create contacts,Complete,Yes,Yes,2025-12-18,High,CRM_DEFAULTS constants
app/api/admin/contacts/[id]/route.ts,API-Admin,Contact CRUD,Complete,Yes,Yes,2025-12-18,High,
app/api/admin/contacts/[id]/outreach/route.ts,API-Admin,Outreach logging,Complete,Yes,Yes,2025-12-18,Medium,
app/api/affiliates/route.ts,API-Affiliate,Affiliate data,Complete,Yes,Yes,2025-12-18,Medium,
app/api/affiliates/apply/route.ts,API-Affiliate,Application,Complete,Yes,Yes,2025-12-18,Medium,
app/api/affiliates/track/route.ts,API-Affiliate,Click tracking,Complete,Yes,Yes,2025-12-18,Medium,
app/api/affiliates/payout/route.ts,API-Affiliate,Payout requests,Complete,Yes,Yes,2025-12-18,Medium,
app/api/affiliates/leaderboard/route.ts,API-Affiliate,Leaderboard,Complete,Yes,Yes,2025-12-18,Low,
app/api/ai/generate/route.ts,API-AI,AI content generation,Complete,Yes,Yes,2025-12-18,High,Bedrock integration
app/api/ai/remove-background/route.ts,API-AI,Background removal,InProgress,No,No,2025-12-18,Medium,Needs testing
app/api/templates/route.ts,API-Template,Template listing,Complete,Yes,Yes,2025-12-18,High,
app/api/templates/protected/route.ts,API-Template,Protected templates,Complete,Yes,Yes,2025-12-18,Medium,Premium templates
app/api/upload/route.ts,API-Other,File upload to S3,Complete,Yes,Yes,2025-12-18,High,
app/api/user/profile/route.ts,API-User,User profile,Complete,Yes,Yes,2025-12-18,High,
app/api/user/settings/route.ts,API-User,User settings,Complete,Yes,Yes,2025-12-18,High,
app/api/notifications/route.ts,API-Other,Notifications,Complete,Yes,Yes,2025-12-18,Medium,Null checks added
app/api/contact/route.ts,API-Other,Contact form,Complete,Yes,Yes,2025-12-18,Medium,Rate limited
app/api/og/route.tsx,API-Other,OG image generation,Complete,Yes,Yes,2025-12-18,Medium,
app/api/health/route.ts,API-Other,Health check,Complete,Yes,Yes,2025-12-18,Medium,
app/api/site-access/route.ts,API-Other,Password validation,Complete,Yes,Yes,2025-12-18,Medium,
components/ui/button.tsx,Component-UI,Button component,Complete,Yes,Yes,2025-12-18,Critical,Multiple variants loading state
components/ui/input.tsx,Component-UI,Input component,Complete,Yes,Yes,2025-12-18,High,
components/ui/textarea.tsx,Component-UI,Textarea component,Complete,Yes,Yes,2025-12-18,High,
components/ui/select.tsx,Component-UI,Select component,Complete,Yes,Yes,2025-12-18,High,Radix UI based
components/ui/checkbox.tsx,Component-UI,Checkbox component,Complete,Yes,Yes,2025-12-18,High,
components/ui/switch.tsx,Component-UI,Switch component,Complete,Yes,Yes,2025-12-18,High,
components/ui/slider.tsx,Component-UI,Slider component,Complete,Yes,Yes,2025-12-18,Medium,
components/ui/dialog.tsx,Component-UI,Dialog Modal,Complete,Yes,Yes,2025-12-18,High,
components/ui/popover.tsx,Component-UI,Popover component,Complete,Yes,Yes,2025-12-18,Medium,
components/ui/tooltip.tsx,Component-UI,Tooltip component,Complete,Yes,Yes,2025-12-18,Medium,
components/ui/dropdown-menu.tsx,Component-UI,Dropdown menu,Complete,Yes,Yes,2025-12-18,High,
components/ui/tabs.tsx,Component-UI,Tabs component,Complete,Yes,Yes,2025-12-18,High,
components/ui/card.tsx,Component-UI,Card component,Complete,Yes,Yes,2025-12-18,High,Multiple variants
components/ui/badge.tsx,Component-UI,Badge component,Complete,Yes,Yes,2025-12-18,Medium,
components/ui/avatar.tsx,Component-UI,Avatar component,Complete,Yes,Yes,2025-12-18,Medium,
components/ui/skeleton.tsx,Component-UI,Skeleton loaders,Complete,Yes,Yes,2025-12-18,High,Table Grid List variants
components/ui/error-boundary.tsx,Component-UI,Error boundary,Complete,Yes,Yes,2025-12-18,High,
components/ui/empty-state.tsx,Component-UI,Empty state,Complete,Yes,Yes,2025-12-18,Medium,
components/editor/canvas-element.tsx,Component-Editor,Canvas element renderer,Complete,Yes,Yes,2025-12-18,Critical,Drag resize rotate
components/editor/editor-toolbar.tsx,Component-Editor,Editor top toolbar,Complete,Yes,Yes,2025-12-18,High,
components/editor/element-library.tsx,Component-Editor,Element library panel,Complete,Yes,Yes,2025-12-18,High,Text shapes images
components/editor/layers-panel.tsx,Component-Editor,Layers management,Complete,Yes,Yes,2025-12-18,High,
components/editor/properties-panel.tsx,Component-Editor,Element properties,Complete,Yes,Yes,2025-12-18,High,
components/editor/color-picker.tsx,Component-Editor,Color picker,Complete,Yes,Yes,2025-12-18,Medium,
components/editor/font-picker.tsx,Component-Editor,Font selector,Complete,Yes,Yes,2025-12-18,Medium,
components/editor/background-removal.tsx,Component-Editor,BG removal tool,InProgress,No,No,2025-12-18,Low,API integration needed
components/landing/header.tsx,Component-Landing,Site header,Complete,Yes,Yes,2025-12-18,Critical,Mobile menu responsive
components/landing/footer.tsx,Component-Landing,Site footer,Complete,Yes,Yes,2025-12-18,High,
components/templates/template-gallery.tsx,Component-Template,Template browser,Complete,Yes,Yes,2025-12-18,High,Responsive grid
components/templates/template-card.tsx,Component-Template,Template card,Complete,Yes,Yes,2025-12-18,High,
components/templates/template-preview.tsx,Component-Template,Template preview,Complete,Yes,Yes,2025-12-18,Medium,
components/public/rsvp-form.tsx,Component-Public,RSVP submission form,Complete,Yes,Yes,2025-12-18,Critical,Accessible validated
components/public/invitation-page.tsx,Component-Public,Invitation display,Complete,Yes,Yes,2025-12-18,High,
components/public/event-details.tsx,Component-Public,Event info display,Complete,Yes,Yes,2025-12-18,Medium,
lib/utils.ts,Library,Utility functions,Complete,Yes,Yes,2025-12-18,Critical,cn dates formatting
lib/constants.ts,Library,App constants,Complete,Yes,Yes,2025-12-18,Critical,Config CRM defaults
lib/auth-server.ts,Library,Server auth utils,Complete,Yes,Yes,2025-12-18,Critical,JWT validation
lib/api-utils.ts,Library,API helpers,Complete,Yes,Yes,2025-12-18,High,Response formatting
lib/api-validation.ts,Library,API validation,Complete,Yes,Yes,2025-12-18,High,Zod schemas
lib/rate-limit.ts,Library,Rate limiting,Complete,Yes,Yes,2025-12-18,Critical,In-memory limiter
lib/security.ts,Library,Security utils,Complete,Yes,Yes,2025-12-18,Critical,Sanitization
lib/csrf.ts,Library,CSRF utils,Complete,Yes,Yes,2025-12-18,High,Token generation
lib/audit-log.ts,Library,Audit logging,Complete,Yes,Yes,2025-12-18,High,Auth attempts rate limits
lib/errors.ts,Library,Error classes,Complete,Yes,Yes,2025-12-18,High,Custom errors
lib/email.ts,Library,Email service,Complete,Yes,Yes,2025-12-18,High,SES integration
lib/data/templates.ts,Library,Template data,Complete,Yes,Yes,2025-12-18,High,100+ templates
lib/stores/auth-store.ts,Store,Auth state,Complete,Yes,Yes,2025-12-18,Critical,Zustand store
lib/stores/editor-store.ts,Store,Editor state,Complete,Yes,Yes,2025-12-18,Critical,Design state
lib/stores/invitation-store.ts,Store,Invitation state,Complete,Yes,Yes,2025-12-18,Critical,CRUD operations
lib/services/affiliate-service.ts,Service,Affiliate operations,Complete,Yes,Yes,2025-12-18,Medium,
lib/services/contacts-service.ts,Service,CRM operations,Complete,Yes,Yes,2025-12-18,Medium,
lib/services/notification-service.ts,Service,Notifications,Complete,Yes,Yes,2025-12-18,Medium,
services/stripe.ts,Service,Stripe client,Complete,Yes,Yes,2025-12-18,Critical,
services/aws/dynamodb.ts,Service,DynamoDB client,Complete,Yes,Yes,2025-12-18,Critical,
services/aws/s3.ts,Service,S3 client,Complete,Yes,Yes,2025-12-18,High,
services/aws/ses.ts,Service,SES client,Complete,Yes,Yes,2025-12-18,High,
services/aws/cognito.ts,Service,Cognito client,Complete,Yes,Yes,2025-12-18,Critical,
services/aws/bedrock.ts,Service,Bedrock AI client,Complete,Yes,Yes,2025-12-18,High,
hooks/use-debounce.ts,Hook,Debounce hook,Complete,Yes,Yes,2025-12-18,Medium,
hooks/use-local-storage.ts,Hook,Local storage hook,Complete,Yes,Yes,2025-12-18,Medium,
hooks/use-media-query.ts,Hook,Media query hook,Complete,Yes,Yes,2025-12-18,Medium,
hooks/use-editor-shortcuts.tsx,Hook,Editor shortcuts,Complete,Yes,Yes,2025-12-18,High,
types/index.ts,Types,TypeScript types,Complete,Yes,Yes,2025-12-18,Critical,All interfaces
styles/globals.css,Styles,Global styles,Complete,Yes,Yes,2025-12-18,High,Tailwind + custom
